,CBM,VBM,WF,Ec,Eb,Eform
Sc_O,-3.7131,-1.925,4.617,4.26081805,8.1839413,-3.92312325
V_O,-3.7131,-1.925,4.617,6.1081943,6.7394043,-0.63121
Cr_O,-3.7131,-1.925,4.617,4.0300942,3.8314922,0.198602
Mn_O,-3.7131,-1.925,4.617,3.7181979,4.1430389,-0.424841
Fe_O,-3.7131,-1.925,4.617,4.8439936,4.1380551,0.7059385
Co_O,-3.7131,-1.925,4.617,5.1227509,4.0220179,1.100733
Ni_O,-3.7131,-1.925,4.617,5.09483047,3.92204397,1.1727865
Cu_O,-3.7131,-1.925,4.617,3.430148,2.6975215,0.7326265
Zn_O,-3.7131,-1.925,4.617,1.105972371,0.984906621,0.12106575
Y_O,-3.7131,-1.925,4.617,4.2184875,8.270153,-4.0516655
Zr_O,-3.7131,-1.925,4.617,6.29132,8.064318,-1.772998
Nb_O,-3.7131,-1.925,4.617,7.4903284,7.7488739,-0.2585455
Mo_O,-3.7131,-1.925,4.617,6.3479873,4.7206353,1.627352
Tc_O,-3.7131,-1.925,4.617,6.8440655,4.544958,2.2991075
Ru_O,-3.7131,-1.925,4.617,7.43288085,4.6099631,2.82291775
Rh_O,-3.7131,-1.925,4.617,5.82663225,3.439035,2.38759725
Pd_O,-3.7131,-1.925,4.617,3.74479405,2.0315478,1.71324625
Ag_O,-3.7131,-1.925,4.617,2.51323423,1.84745323,0.665781
Cd_O,-3.7131,-1.925,4.617,0.737700626,0.629952376,0.10774825
Lu_O,-3.7131,-1.925,4.617,4.18184495,7.92702635,-3.7451814
Hf_O,-3.7131,-1.925,4.617,6.3038765,8.6216855,-2.317809
Ta_O,-3.7131,-1.925,4.617,8.2115952,8.0337432,0.177852
W_O,-3.7131,-1.925,4.617,8.9064479,6.5321649,2.374283
Re_O,-3.7131,-1.925,4.617,8.9322609,5.4726574,3.4596035
Os_O,-3.7131,-1.925,4.617,8.1991765,3.8678,4.3313765
Ir_O,-3.7131,-1.925,4.617,7.3667052,3.2623137,4.1043915
Pt_O,-3.7131,-1.925,4.617,5.52415152,2.08369452,3.440457
Au_O,-3.7131,-1.925,4.617,3.02121706,0.94954506,2.071672
Hg_O,-3.7131,-1.925,4.617,0.166693246,0.296996546,-0.1303033
Sc_S,-2.7233,-1.292,6.1505,4.16300635,7.2910396,-3.12803325
V_S,-2.7233,-1.292,6.1505,5.368325,5.938905,-0.57058
Cr_S,-2.7233,-1.292,6.1505,5.3682572,5.6862752,-0.318018
Mn_S,-2.7233,-1.292,6.1505,3.718918,4.550559,-0.831641
Fe_S,-2.7233,-1.292,6.1505,4.8448441,4.9007056,-0.0558615
Co_S,-2.7233,-1.292,6.1505,5.1236245,4.9850115,0.138613
Ni_S,-2.7233,-1.292,6.1505,5.09538915,5.44898265,-0.3535935
Cu_S,-2.7233,-1.292,6.1505,3.43042404,3.76033754,-0.3299135
Zn_S,-2.7233,-1.292,6.1505,1.106187356,1.606231606,-0.50004425
Y_S,-2.7233,-1.292,6.1505,4.155398,7.3740635,-3.2186655
Zr_S,-2.7233,-1.292,6.1505,6.1215731,7.3136811,-1.192108
Nb_S,-2.7233,-1.292,6.1505,7.4850271,7.7514726,-0.2664455
Mo_S,-2.7233,-1.292,6.1505,7.6289149,6.6142129,1.014702
Tc_S,-2.7233,-1.292,6.1505,6.8439978,5.9426103,0.9013875
Ru_S,-2.7233,-1.292,6.1505,7.49603685,6.7256891,0.77034775
Rh_S,-2.7233,-1.292,6.1505,5.91907555,5.6039283,0.31514725
Pd_S,-2.7233,-1.292,6.1505,3.74523545,3.6560192,0.08921625
Ag_S,-2.7233,-1.292,6.1505,2.51365439,2.53010339,-0.016449
Cd_S,-2.7233,-1.292,6.1505,0.738097364,1.048549114,-0.31045175
Lu_S,-2.7233,-1.292,6.1505,4.09020342,7.02463482,-2.9344314
Hf_S,-2.7233,-1.292,6.1505,6.3056547,7.8160537,-1.510399
Ta_S,-2.7233,-1.292,6.1505,8.3691417,7.8745497,0.494592
W_S,-2.7233,-1.292,6.1505,8.9072772,7.0415642,1.865713
Re_S,-2.7233,-1.292,6.1505,7.7621767,5.7227732,2.0394035
Os_S,-2.7233,-1.292,6.1505,8.1998007,6.1665542,2.0332465
Ir_S,-2.7233,-1.292,6.1505,7.29025,5.9752185,1.3150315
Pt_S,-2.7233,-1.292,6.1505,5.54646725,4.85512025,0.691347
Au_S,-2.7233,-1.292,6.1505,3.0215217,2.1805597,0.840962
Hg_S,-2.7233,-1.292,6.1505,0.167044162,0.401337462,-0.2342933
Sc_CL,-1.5466,0.5125,6.2249,4.26228085,2.3976241,1.86465675
V_CL,-1.5466,0.5125,6.2249,5.368539,1.635859,3.73268
Cr_CL,-1.5466,0.5125,6.2249,4.0310626,1.0461506,2.984912
Mn_CL,-1.5466,0.5125,6.2249,3.7192726,0.9780236,2.741249
Fe_CL,-1.5466,0.5125,6.2249,4.8447021,1.3698936,3.4748085
Co_CL,-1.5466,0.5125,6.2249,5.4611162,2.1880932,3.273023
Ni_CL,-1.5466,0.5125,6.2249,5.09565178,2.73363528,2.3620165
Cu_CL,-1.5466,0.5125,6.2249,3.4305658,1.0657693,2.3647965
Zn_CL,-1.5466,0.5125,6.2249,1.106346893,0.182051143,0.92429575
Y_CL,-1.5466,0.5125,6.2249,4.1565422,2.2257177,1.9308245
Zr_CL,-1.5466,0.5125,6.2249,6.3279035,2.1872315,4.140672
Nb_CL,-1.5466,0.5125,6.2249,7.4924967,2.5113822,4.9811145
Mo_CL,-1.5466,0.5125,6.2249,7.6309665,2.1064845,5.524482
Tc_CL,-1.5466,0.5125,6.2249,6.8767128,1.3132253,5.5634875
Ru_CL,-1.5466,0.5125,6.2249,7.37471785,2.4868301,4.88788775
Rh_CL,-1.5466,0.5125,6.2249,5.71101865,1.8095214,3.90149725
Pd_CL,-1.5466,0.5125,6.2249,3.74544575,1.3197995,2.42564625
Ag_CL,-1.5466,0.5125,6.2249,2.51378975,0.48261875,2.031171
Cd_CL,-1.5466,0.5125,6.2249,0.738262788,0.205054538,0.53320825
Lu_CL,-1.5466,0.5125,6.2249,4.14157205,2.28015345,1.8614186
Hf_CL,-1.5466,0.5125,6.2249,6.3636298,1.9867288,4.376901
Ta_CL,-1.5466,0.5125,6.2249,8.2133415,1.9290295,6.284312
W_CL,-1.5466,0.5125,6.2249,8.9090342,1.3795112,7.529523
Re_CL,-1.5466,0.5125,6.2249,7.7626728,0.4708493,7.2918235
Os_CL,-1.5466,0.5125,6.2249,8.2000069,0.7096404,7.4903665
Ir_CL,-1.5466,0.5125,6.2249,7.2823711,0.9603296,6.3220415
Pt_CL,-1.5466,0.5125,6.2249,5.52415843,1.18755143,4.336607
Au_CL,-1.5466,0.5125,6.2249,3.02164843,0.51403643,2.507612
Hg_CL,-1.5466,0.5125,6.2249,0.167121525,0.167504825,-0.0003833
Sc_SE,-2.5043,-0.3027,5.2857,4.16348015,5.2389334,-1.07545325
V_SE,-2.5043,-0.3027,5.2857,5.3683032,4.0880332,1.28027
Cr_SE,-2.5043,-0.3027,5.2857,4.0309419,2.9588199,1.072122
Mn_SE,-2.5043,-0.3027,5.2857,3.7190707,3.0208917,0.698179
Fe_SE,-2.5043,-0.3027,5.2857,4.844588,3.5709295,1.2736585
Co_SE,-2.5043,-0.3027,5.2857,5.4788656,4.4660726,1.012793
Ni_SE,-2.5043,-0.3027,5.2857,5.09549366,4.59196716,0.5035265
Cu_SE,-2.5043,-0.3027,5.2857,3.43046689,2.66361039,0.7668565
Zn_SE,-2.5043,-0.3027,5.2857,1.106235807,0.285430057,0.82080575
Y_SE,-2.5043,-0.3027,5.2857,4.1558878,5.1805633,-1.0246755
Zr_SE,-2.5043,-0.3027,5.2857,6.2922997,5.3695177,0.922782
Nb_SE,-2.5043,-0.3027,5.2857,7.491899,5.8655045,1.6263945
Mo_SE,-2.5043,-0.3027,5.2857,7.6286385,5.1664865,2.462152
Tc_SE,-2.5043,-0.3027,5.2857,6.8451863,4.8451488,2.0000375
Ru_SE,-2.5043,-0.3027,5.2857,7.44593525,5.8304375,1.61549775
Rh_SE,-2.5043,-0.3027,5.2857,5.92756375,5.0098965,0.91766725
Pd_SE,-2.5043,-0.3027,5.2857,3.74531465,3.0980084,0.64730625
Ag_SE,-2.5043,-0.3027,5.2857,2.5137396,1.5812386,0.932501
Cd_SE,-2.5043,-0.3027,5.2857,0.738176211,0.396347961,0.34182825
Lu_SE,-2.5043,-0.3027,5.2857,4.14083606,4.83605746,-0.6952214
Hf_SE,-2.5043,-0.3027,5.2857,6.3059101,5.5484591,0.757451
Ta_SE,-2.5043,-0.3027,5.2857,8.2130907,5.6202587,2.592832
W_SE,-2.5043,-0.3027,5.2857,8.9074292,5.2362462,3.671183
Re_SE,-2.5043,-0.3027,5.2857,7.7606412,4.3076877,3.4529535
Os_SE,-2.5043,-0.3027,5.2857,8.1998866,5.2224601,2.9774265
Ir_SE,-2.5043,-0.3027,5.2857,7.2816677,5.2837462,1.9979215
Pt_SE,-2.5043,-0.3027,5.2857,5.52837859,4.25428159,1.274097
Au_SE,-2.5043,-0.3027,5.2857,3.02158941,1.38228741,1.639302
Hg_SE,-2.5043,-0.3027,5.2857,0.167121035,0.249584335,-0.0824633
Sc_F,-1.3315,-3.2733,4.9822,4.26085775,3.210401,1.05045675
V_F,-1.3315,-3.2733,4.9822,5.3676795,1.6207195,3.74696
Cr_F,-1.3315,-3.2733,4.9822,4.0305686,0.7036266,3.326942
Mn_F,-1.3315,-3.2733,4.9822,3.7187063,0.8998673,2.818839
Fe_F,-1.3315,-3.2733,4.9822,4.8446982,0.7781197,4.0665785
Co_F,-1.3315,-3.2733,4.9822,5.4556992,1.1580662,4.297633
Ni_F,-1.3315,-3.2733,4.9822,5.09525247,2.27950597,2.8157465
Cu_F,-1.3315,-3.2733,4.9822,3.43032985,0.31088335,3.1194465
Zn_F,-1.3315,-3.2733,4.9822,1.106132389,0.244166639,0.86196575
Y_F,-1.3315,-3.2733,4.9822,4.1543028,3.1332183,1.0210845
Zr_F,-1.3315,-3.2733,4.9822,6.2052495,3.8299475,2.375302
Nb_F,-1.3315,-3.2733,4.9822,7.4845604,3.7683859,3.7161745
Mo_F,-1.3315,-3.2733,4.9822,7.6285957,1.7591737,5.869422
Tc_F,-1.3315,-3.2733,4.9822,6.8835718,1.0618043,5.8217675
Ru_F,-1.3315,-3.2733,4.9822,7.40636505,2.2659173,5.14044775
Rh_F,-1.3315,-3.2733,4.9822,5.91843235,1.8744651,4.04396725
Pd_F,-1.3315,-3.2733,4.9822,3.74509555,1.0875093,2.65758625
Ag_F,-1.3315,-3.2733,4.9822,2.51349545,0.38021445,2.133281
Cd_F,-1.3315,-3.2733,4.9822,0.737948494,0.269610244,0.46833825
Lu_F,-1.3315,-3.2733,4.9822,4.14016238,2.68776378,1.4523986
Hf_F,-1.3315,-3.2733,4.9822,6.3049345,1.8011135,4.503821
Ta_F,-1.3315,-3.2733,4.9822,8.2123583,1.3787363,6.833622
W_F,-1.3315,-3.2733,4.9822,8.9069634,1.0242504,7.882713
Re_F,-1.3315,-3.2733,4.9822,8.9531844,1.5660309,7.3871535
Os_F,-1.3315,-3.2733,4.9822,8.199538,0.9460515,7.2534865
Ir_F,-1.3315,-3.2733,4.9822,7.3062047,3.2476132,4.0585915
Pt_F,-1.3315,-3.2733,4.9822,5.52410748,0.99864048,4.525467
Au_F,-1.3315,-3.2733,4.9822,3.02141591,0.31373391,2.707682
Hg_F,-1.3315,-3.2733,4.9822,0.166908489,0.231981789,-0.0650733
