,AN,G,P,AM,EN,R,IE,MP,BP,D,SAN,SAM,SEN,SR,SIE,SMP,SBP,SD,H,CBM,VBM,ECOH,WF
Sc_O,21,3,4,44.95591,1.36,1.84,6.561,1814,3109,2.99,8,15.999,3.44,0.48,13.618,54.36,90.2,0.001429,6.97261,-3.7131,-1.925,5.362014257,4.617
V_O,23,5,4,50.9415,1.63,1.71,6.746,2183,3680,6,8,15.999,3.44,0.48,13.618,54.36,90.2,0.001429,6.97261,-3.7131,-1.925,5.362014257,4.617
Cr_O,24,6,4,51.996,1.66,1.66,6.767,2180,2944,7.15,8,15.999,3.44,0.48,13.618,54.36,90.2,0.001429,6.97261,-3.7131,-1.925,5.362014257,4.617
Mn_O,25,7,4,54.93804,1.55,1.61,7.434,1519,2334,7.3,8,15.999,3.44,0.48,13.618,54.36,90.2,0.001429,6.97261,-3.7131,-1.925,5.362014257,4.617
Fe_O,26,8,4,55.84,1.83,1.56,7.902,1811,3134,7.874,8,15.999,3.44,0.48,13.618,54.36,90.2,0.001429,6.97261,-3.7131,-1.925,5.362014257,4.617
Co_O,27,9,4,58.93319,1.88,1.52,7.881,1768,3200,8.86,8,15.999,3.44,0.48,13.618,54.36,90.2,0.001429,6.97261,-3.7131,-1.925,5.362014257,4.617
Ni_O,28,10,4,58.693,1.91,1.49,7.64,1728,3186,8.912,8,15.999,3.44,0.48,13.618,54.36,90.2,0.001429,6.97261,-3.7131,-1.925,5.362014257,4.617
Cu_O,29,11,4,63.55,1.9,1.45,7.726,1357.77,2835,8.933,8,15.999,3.44,0.48,13.618,54.36,90.2,0.001429,6.97261,-3.7131,-1.925,5.362014257,4.617
Zn_O,30,12,4,65.4,1.65,1.42,9.394,692.68,1180,7.134,8,15.999,3.44,0.48,13.618,54.36,90.2,0.001429,6.97261,-3.7131,-1.925,5.362014257,4.617
Y_O,39,3,5,88.90584,1.22,2.12,6.217,1795,3618,4.47,8,15.999,3.44,0.48,13.618,54.36,90.2,0.001429,6.97261,-3.7131,-1.925,5.362014257,4.617
Zr_O,40,4,5,91.22,1.33,2.06,6.634,2128,4682,6.52,8,15.999,3.44,0.48,13.618,54.36,90.2,0.001429,6.97261,-3.7131,-1.925,5.362014257,4.617
Nb_O,41,5,5,92.90637,1.6,1.98,6.759,2750,5017,8.57,8,15.999,3.44,0.48,13.618,54.36,90.2,0.001429,6.97261,-3.7131,-1.925,5.362014257,4.617
Mo_O,42,6,5,95.95,2.16,1.9,7.092,2896,4912,10.2,8,15.999,3.44,0.48,13.618,54.36,90.2,0.001429,6.97261,-3.7131,-1.925,5.362014257,4.617
Tc_O,43,7,5,96.90636,1.9,1.83,7.28,2430,4538,11,8,15.999,3.44,0.48,13.618,54.36,90.2,0.001429,6.97261,-3.7131,-1.925,5.362014257,4.617
Ru_O,44,8,5,101.1,2.2,1.78,7.361,2607,4423,12.1,8,15.999,3.44,0.48,13.618,54.36,90.2,0.001429,6.97261,-3.7131,-1.925,5.362014257,4.617
Rh_O,45,9,5,102.9055,2.28,1.73,7.459,2237,3968,12.4,8,15.999,3.44,0.48,13.618,54.36,90.2,0.001429,6.97261,-3.7131,-1.925,5.362014257,4.617
Pd_O,46,10,5,106.42,2.2,1.69,8.337,1828.05,3236,12,8,15.999,3.44,0.48,13.618,54.36,90.2,0.001429,6.97261,-3.7131,-1.925,5.362014257,4.617
Ag_O,47,11,5,107.868,1.93,1.65,7.576,1234.93,2435,10.501,8,15.999,3.44,0.48,13.618,54.36,90.2,0.001429,6.97261,-3.7131,-1.925,5.362014257,4.617
Cd_O,48,12,5,112.41,1.69,1.61,8.994,594.22,1040,8.69,8,15.999,3.44,0.48,13.618,54.36,90.2,0.001429,6.97261,-3.7131,-1.925,5.362014257,4.617
Lu_O,71,3,6,174.9668,1.27,2.17,5.426,1936,3675,9.84,8,15.999,3.44,0.48,13.618,54.36,90.2,0.001429,6.97261,-3.7131,-1.925,5.362014257,4.617
Hf_O,72,4,6,178.49,1.3,2.08,6.825,2506,4876,13.3,8,15.999,3.44,0.48,13.618,54.36,90.2,0.001429,6.97261,-3.7131,-1.925,5.362014257,4.617
Ta_O,73,5,6,180.9479,1.5,0,7.89,3290,5731,16.4,8,15.999,3.44,0.48,13.618,54.36,90.2,0.001429,6.97261,-3.7131,-1.925,5.362014257,4.617
W_O,74,6,6,183.84,2.36,1.93,7.98,3695,5828,19.3,8,15.999,3.44,0.48,13.618,54.36,90.2,0.001429,6.97261,-3.7131,-1.925,5.362014257,4.617
Re_O,75,7,6,186.207,1.9,1.88,7.88,3459,5869,20.8,8,15.999,3.44,0.48,13.618,54.36,90.2,0.001429,6.97261,-3.7131,-1.925,5.362014257,4.617
Os_O,76,8,6,190.2,2.2,1.85,8.7,3306,5285,22.57,8,15.999,3.44,0.48,13.618,54.36,90.2,0.001429,6.97261,-3.7131,-1.925,5.362014257,4.617
Ir_O,77,9,6,192.22,2.2,1.8,9.1,2719,4701,22.42,8,15.999,3.44,0.48,13.618,54.36,90.2,0.001429,6.97261,-3.7131,-1.925,5.362014257,4.617
